ACTH : adrenocorticotrop
Aba : dimie
Aba : suman
Aba : saiac
Aba : zeghe
Abia : numai
Abia : tocmai
Abia : taman
Abia : anevoie
Abia : scăpat
Aceste : aiest
Acra : acrit
Ada : cauza
Ada : pricinui
Ada : produce
Ada : provoca
Ada : daune
Ada : realiza
Adam : fluture-cap-de-mort
Ader : ralia
Ader : intra
Ader : înscrie
Afumați : chercheli
Afumați : fumega
Afumați : îmbăta
Agata : atârna
Agata : prinde
Agata : spânzura
Agata : suspenda
Agata : anina
Agata : zgrepțăna
Agata : împrinde
Agata : apuca
Agata : crengi
Agricola : agrar
Agricola : agrarian
Agricola : plugăresc
Alba : poetic
Alba : coama
Alba : coliliu
Alba : părul
Alba : bariu
Alba : știubeci
Alba : titan
Alba : mijlociu
Alba : nescris
Alba : foaie
Albești : înălbi
Am : poseda
Am : deține
Am : purta
Am : numele
Am : nutri
Am : sentimente
Am : pentru
Am : exista
Am : găsi
Am : bucura
Am : dispune
Am : sfârșit
Aram : scurma
Arctica : nordic
Arctica : astăzi
Arctica : boreal
Arctica : septentrional
Arini : arinde
Armada : oaste
Armada : oștire
Armada : putere
Atotputernicul : omnipotent
Atotputernicul : puternicos
Atotputernicul : preaputernic
Atotputernicul : preaputincios
Atotputernicul : prepotent
aba : dimie
aba : suman
aba : saiac
aba : zeghe
abac : numărătoare
abac : pentru
abac : socoteli
abajur : pălărie
abajur : taier
abandon : abandonare
abandon : părăsire
abandona : lăsa
abandona : părăsi
abandona : franțuzism
abandona : placa
abandona : oropsi
abandona : pustii
abandona : năpusti
abandonat : părăsit
abandonat : oropsit
abandonat : năpustit
abate : devia
abate : depărta
abate : divaga
abate : îndepărta
abate : scăpăta
abate : trece
abate : distrage
abate : sustrage
abatere : deviere
abatere : culpabilitate
abatere : eroare
abatere : păcat
abatere : vinovăție
abatere : ponos
abatere : cusur
abatere : scandal
abatere : rătăcire
abatere : anomalie
abatere : produs
abator : măcelărie
abator : belitoare
abator : tăietorie
abator : scaun
abator : zalhana
abator : vitele
abces : buboi
abces : furnicel
abdica : prosti
abdica : tronul
abdicare : prostire
abdomen : pântece
abdomen : bandor
abdomen : bârdan
abdomen : burduh
abdomen : foale
abdomen : vintre
abdomen : burduhan
abdominal : ventral
abecedar : bucvariu
abecedar : silabar
abecedare : bucvariu
abecedare : silabar
aberație : aberație
aberație : cromatism
abia : numai
abia : tocmai
abia : taman
abia : anevoie
abia : scăpat
abies : porob
abies : molid
abies : molete
abies : molidar
abil : șiret
abil : șmecher
abil : viclean
abil : mehenghi
abilita : delega
abilita : împuternici
abilitare : delega
abilitare : împuternici
abilitat : delega
abilitat : împuternici
abioseston : tripton
abisal : depresiune
abitir : dihai
abjura : lepăda
abjura : renega
abjurare : abjurație
abjurare : lepădare
abjurare : renegare
abjurat : lepăda
abjurat : renega
ablaut : apofonie
ablaut : între
ablaut : vocalele
ablațiune : extirpare
ablațiune : scoatere
aboli : suprima
aboli : șterge
abolire : desființare
abolire : suprimare
abolire : abolițiune
abolire : ștergere
abolit : suprima
abolit : șterge
abolițiune : desființare
abominabil : cutremurător
abominabil : dezgustător
abominabil : fioros
abominabil : groaznic
abominabil : grozav
abominabil : înfiorător
